GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Corporate;Produtos Elsie Claire Ltda;01.702.007/0001-18;GNDI;Saúde;1;01/10/2022;Comissão ; R$ 1.034,78 ;3%; R$ 31,04 ;6,50%; R$ 2,02 ; R$ 29,03 ;14,25%; 4,14 ; 24,89 ;10%; 2,49 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Corporate;Cria Sim Produtos de Higiene ltda;05.975.111/0001-37;GNDI;Saúde;2;01/10/2022;Comissão ; R$ 72.698,61 ;3%; R$ 2.180,96 ;6,50%; R$ 141,76 ; R$ 2.039,20 ;14,25%; 290,59 ; 1.748,61 ;10%; 174,86 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Corporate;"	Pharma Services Comercial Ltda.";"	53.590.535/0001-26";Bradesco;Saúde;4;01/10/2022;Comissão ; R$ 195.178,54 ;5%; R$ 9.758,93 ;3,50%; R$ 341,56 ; R$ 9.417,36 ;14,25%; 1.341,97 ; 8.075,39 ;10%; 807,54 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Corporate;Leader Up Sistemas Ltda.;02.210.084/0001-13;Bradesco;Saúde;4;01/10/2022;Comissão ; R$ 12.832,55 ;5%; R$ 641,63 ;3,50%; R$ 22,46 ; R$ 619,17 ;14,25%; 88,23 ; 530,94 ;10%; 53,09 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;7;01/11/2022;Comissão ; R$ 52.288,62 ;5%; R$ 2.614,43 ;6,50%; R$ 169,94 ; R$ 2.444,49 ;14,25%; 348,34 ; 2.096,15 ;10%; 209,62 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2022;Corporate;Officina Merchandinsing e Distribuição;05.868.034/0001-16;GNDI;Saúde;2;01/11/2022;Comissão ; R$ 471,49 ;3%; R$ 14,14 ;6,50%; R$ 0,92 ; R$ 13,23 ;14,25%; 1,88 ; 11,34 ;10%; 1,13 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2022;Corporate;Produtos Elsie Claire Ltda;01.702.007/0001-18;GNDI;Saúde;2;01/11/2022;Comissão ; R$ 1.428,01 ;3%; R$ 42,84 ;6,50%; R$ 2,78 ; R$ 40,06 ;14,25%; 5,71 ; 34,35 ;10%; 3,43 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2022;Corporate;Cria Sim Produtos de Higiene ltda;05.975.111/0001-37;GNDI;Saúde;3;01/11/2022;Comissão ; R$ 97.783,07 ;3%; R$ 2.933,49 ;6,50%; R$ 190,68 ; R$ 2.742,82 ;14,25%; 390,85 ; 2.351,96 ;10%; 235,20 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2022;Corporate;Leader Up Sistemas Ltda.;02.210.084/0001-13;Bradesco;Saúde;4;01/11/2022;Comissão ; R$ 196.976,87 ;5%; R$ 9.848,84 ;3,50%; R$ 344,71 ; R$ 9.504,13 ;14,25%; 1.354,34 ; 8.149,79 ;10%; 814,98 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2022;Corporate;"	Pharma Services Comercial Ltda.";"	53.590.535/0001-26";Bradesco;Saúde;4;01/11/2022;Comissão ; R$ 10.965,15 ;5%; R$ 548,26 ;3,50%; R$ 19,19 ; R$ 529,07 ;14,25%; 75,39 ; 453,68 ;10%; 45,37 
Colégio Arcon;Leandro Peralta;Leandro Peralta;Consultor Interno;01/09/2022;Small;Colégio Arcon Eireli;27.216.843/0001-86;Prudential;Vida;1;01/07/2022;Agenciamento; R$ 274,56 ;100%; R$ 274,56 ;3,50%; R$ 9,61 ; R$ 264,95 ;14,25%; 37,76 ; 227,19 ;10%; 22,72 
Colégio Arcon;Leandro Peralta;Leandro Peralta;Consultor Interno;01/09/2022;Small;Colégio Arcon Eireli;27.216.843/0001-86;Prudential;Vida;2;01/08/2022;Comissão; R$ 274,56 ;20%; R$ 54,91 ;3,50%; R$ 1,92 ; R$ 52,99 ;14,25%; 7,55 ; 45,44 ;10%; 4,54 
Colégio Arcon;Leandro Peralta;Leandro Peralta;Consultor Interno;01/09/2022;Small;Colégio Arcon Eireli;27.216.843/0001-86;Prudential;Vida;3;01/09/2022;Comissão; R$ 274,56 ;20%; R$ 54,91 ;3,50%; R$ 1,92 ; R$ 52,99 ;14,25%; 7,55 ; 45,44 ;10%; 4,54 
Colégio Arcon;Leandro Peralta;Leandro Peralta;Consultor Interno;01/10/2022;Small;Colégio Arcon Eireli;27.216.843/0001-86;Prudential;Vida;4;01/10/2022;Comissão; R$ 262,71 ;30%; R$ 78,81 ;3,50%; R$ 2,76 ; R$ 76,05 ;14,25%; 10,84 ; 65,22 ;10%; 6,52 
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2022;Middle;Colegio Reino do Ensino Ltda.;07.721.485/0001-51;Prudential;Vida;1;01/11/2022;Agenciamento; R$ 1.433,13 ;100%; R$ 1.433,13 ;3,50%; R$ 50,16 ; R$ 1.382,97 ;14,25%; 197,07 ; 1.185,90 ;10%; 118,59 
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2022;Middle;Colegio Reino do Ensino Ltda.;07.721.485/0001-51;Prudential;Vida;2;01/11/2022;Comissão; R$ 1.433,13 ;10%; R$ 143,31 ;3,50%; R$ 5,02 ; R$ 138,30 ;14,25%; 19,71 ; 118,59 ;10%; 11,86 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;STEPAN;01.898.598/0002-21;UNIMED BH;SAÚDE;11;01/11/2022;Comissão; R$ 63.164,27 ;5%; R$ 3.158,21 ;6,50%; R$ 205,28 ; R$ 2.952,93 ;14,25%; 420,79 ; 2.532,14 ;10%; 253,21 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;SALVAPÉ;60.883.741/0006-02;PRUDENTIAL;VIDA;9;01/11/2022;Comissão; R$ 1.983,62 ;20%; R$ 396,72 ;2,00%; R$ 7,93 ; R$ 388,79 ;14,25%; 55,40 ; 333,39 ;10%; 33,34 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;SALVAPÉ;02.330.106/0001-89;PRUDENTIAL;VIDA;9;01/11/2022;Comissão; R$ 145,18 ;20%; R$ 29,04 ;2,00%; R$ 0,58 ; R$ 28,46 ;14,25%; 4,05 ; 24,40 ;10%; 2,44 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;SALVAPÉ;10.204.906/0002-62;PRUDENTIAL;VIDA;9;01/11/2022;Comissão; R$ 119,86 ;20%; R$ 23,97 ;2,00%; R$ 0,48 ; R$ 23,49 ;14,25%; 3,35 ; 20,14 ;10%; 2,01 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;STEPAN;01.898.598/0001-40;METLIFE;VIDA;12;01/10/2022;Comissão; R$ 1.651,23 ;20%; R$ 330,25 ;2,00%; R$ 6,60 ; R$ 323,64 ;14,25%; 46,12 ; 277,52 ;10%; 27,75 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;STEPAN;01.898.598/0002-21;METLIFE;VIDA;12;01/10/2022;Comissão; R$ 5.111,67 ;20%; R$ 1.022,33 ;2,00%; R$ 20,45 ; R$ 1.001,89 ;14,25%; 142,77 ; 859,12 ;10%; 85,91 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;STEPAN;01.898.598/0003-02;METLIFE;VIDA;12;01/10/2022;Comissão; R$ 60,89 ;20%; R$ 12,18 ;2,00%; R$ 0,24 ; R$ 11,93 ;14,25%; 1,70 ; 10,23 ;10%; 1,02 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/12/2022;Middle;STEPAN;01.898.598/0004-93;METLIFE;VIDA;12;01/10/2022;Comissão; R$ 2.529,24 ;20%; R$ 505,85 ;2,00%; R$ 10,12 ; R$ 495,73 ;14,25%; 70,64 ; 425,09 ;10%; 42,51 
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/12/2022;Middle;Colegio Reino do Ensino Ltda.;07.721.485/0001-51;Prudential;Vida;3;01/12/2022;Comissão; R$ 1.415,42 ;10%; R$ 141,54 ;3,50%; R$ 4,95 ; R$ 136,59 ;14,25%; 19,46 ; 117,12 ;10%; 11,71 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;8;01/12/2022;Comissão ; R$ 54.659,33 ;5%; R$ 2.732,97 ;6,50%; R$ 177,64 ; R$ 2.555,32 ;14,25%; 364,13 ; 2.191,19 ;10%; 219,12 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Corporate;Officina Merchandinsing e Distribuição;05.868.034/0001-16;GNDI;Saúde;3;01/12/2022;Comissão ; R$ 471,49 ;3%; R$ 14,14 ;6,50%; R$ 0,92 ; R$ 13,23 ;14,25%; 1,88 ; 11,34 ;10%; 1,13 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Corporate;Produtos Elsie Claire Ltda;01.702.007/0001-18;GNDI;Saúde;3;01/12/2022;Comissão ; R$ 1.428,01 ;3%; R$ 42,84 ;6,50%; R$ 2,78 ; R$ 40,06 ;14,25%; 5,71 ; 34,35 ;10%; 3,43 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Corporate;Cria Sim Produtos de Higiene ltda;05.975.111/0001-37;GNDI;Saúde;4;01/12/2022;Comissão ; R$ 98.793,07 ;3%; R$ 2.963,79 ;6,50%; R$ 192,65 ; R$ 2.771,15 ;14,25%; 394,89 ; 2.376,26 ;10%; 237,63 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Corporate;Leader Up Sistemas Ltda.;02.210.084/0001-13;Bradesco;Saúde;5;01/12/2022;Comissão ; R$ 201.489,71 ;5%; R$ 10.074,49 ;3,50%; R$ 352,61 ; R$ 9.721,88 ;14,25%; 1.385,37 ; 8.336,51 ;10%; 833,65 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Corporate;"	Pharma Services Comercial Ltda.";"	53.590.535/0001-26";Bradesco;Saúde;5;01/12/2022;Comissão ; R$ 15.680,32 ;5%; R$ 784,02 ;3,50%; R$ 27,44 ; R$ 756,58 ;14,25%; 107,81 ; 648,76 ;10%; 64,88 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;6;01/11/2022;Comissão ; R$ 4.751,57 ;10%; R$ 475,16 ;1,50%; R$ 7,13 ; R$ 468,03 ;14,25%; 66,69 ; 401,34 ;10%; 40,13 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;6;01/11/2022;Comissão ; R$ 9.195,87 ;10%; R$ 919,59 ;1,50%; R$ 13,79 ; R$ 905,79 ;14,25%; 129,08 ; 776,72 ;10%; 77,67 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;7;01/12/2022;Comissão ; R$ 4.203,38 ;10%; R$ 420,34 ;1,50%; R$ 6,31 ; R$ 414,03 ;14,25%; 59,00 ; 355,03 ;10%; 35,50 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;7;01/12/2022;Comissão ; R$ 9.425,10 ;10%; R$ 942,51 ;1,50%; R$ 14,14 ; R$ 928,37 ;14,25%; 132,29 ; 796,08 ;10%; 79,61 
Wiler Kar;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;8;01/12/2022;Comissão ; R$ 54.659,33 ;5%; R$ 2.732,97 ;6,50%; R$ 177,64 ; R$ 2.555,32 ;14,25%; 364,13 ; 2.191,19 ;10%; 219,12 
Davene;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Corporate;Officina Merchandinsing e Distribuição;05.868.034/0001-16;GNDI;Saúde;3;01/12/2022;Comissão ; R$ 471,49 ;3%; R$ 14,14 ;6,50%; R$ 0,92 ; R$ 13,23 ;14,25%; 1,88 ; 11,34 ;10%; 1,13 
Davene;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Corporate;Produtos Elsie Claire Ltda;01.702.007/0001-18;GNDI;Saúde;3;01/12/2022;Comissão ; R$ 1.428,01 ;3%; R$ 42,84 ;6,50%; R$ 2,78 ; R$ 40,06 ;14,25%; 5,71 ; 34,35 ;10%; 3,43 
Davene;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Corporate;Cria Sim Produtos de Higiene ltda;05.975.111/0001-37;GNDI;Saúde;4;01/12/2022;Comissão ; R$ 98.793,07 ;3%; R$ 2.963,79 ;6,50%; R$ 192,65 ; R$ 2.771,15 ;14,25%; 394,89 ; 2.376,26 ;10%; 237,63 
Closeup;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Corporate;Leader Up Sistemas Ltda.;02.210.084/0001-13;Bradesco;Saúde;5;01/12/2022;Comissão ; R$ 201.489,71 ;5%; R$ 10.074,49 ;3,50%; R$ 352,61 ; R$ 9.721,88 ;14,25%; 1.385,37 ; 8.336,51 ;10%; 833,65 
Closeup;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Corporate;"	Pharma Services Comercial Ltda.";"	53.590.535/0001-26";Bradesco;Saúde;5;01/12/2022;Comissão ; R$ 15.680,32 ;5%; R$ 784,02 ;3,50%; R$ 27,44 ; R$ 756,58 ;14,25%; 107,81 ; 648,76 ;10%; 64,88 
Davene;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;6;01/11/2022;Comissão ; R$ 4.751,57 ;10%; R$ 475,16 ;1,50%; R$ 7,13 ; R$ 468,03 ;14,25%; 66,69 ; 401,34 ;10%; 40,13 
Davene;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;6;01/11/2022;Comissão ; R$ 9.195,87 ;10%; R$ 919,59 ;1,50%; R$ 13,79 ; R$ 905,79 ;14,25%; 129,08 ; 776,72 ;10%; 77,67 
Davene;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;7;01/12/2022;Comissão ; R$ 4.203,38 ;10%; R$ 420,34 ;1,50%; R$ 6,31 ; R$ 414,03 ;14,25%; 59,00 ; 355,03 ;10%; 35,50 
Davene;Marcelo Natal;MNT Barcelos;Consultor Interno;01/12/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;7;01/12/2022;Comissão ; R$ 9.425,10 ;10%; R$ 942,51 ;1,50%; R$ 14,14 ; R$ 928,37 ;14,25%; 132,29 ; 796,08 ;10%; 79,61 
Pedro de Almeida;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/12/2022;Small;Pedro Henrique Barroso de Almeida;45.937.557/0001-91;CNU;Saúde;1;01/11/2022;Agenciamento; R$ 1.523,00 ;100%; R$ 1.523,00 ;5,00%; R$ 76,15 ; R$ 1.446,85 ;14,25%; 206,18 ; 1.240,67 ;20%; 248,13 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Middle;STEPAN;01.898.598/0002-21;UNIMED BH;SAÚDE;12;01/12/2022;Comissão; R$ 55.621,80 ;5%; R$ 2.781,09 ;2,00%; R$ 55,62 ; R$ 2.725,47 ;14,25%; 388,38 ; 2.337,09 ;10%; 233,71 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Middle;SALVAPÉ;60.883.741/0006-02;PRUDENTIAL;VIDA;10;01/12/2022;Comissão; R$ 1.982,43 ;20%; R$ 396,49 ;2,00%; R$ 7,93 ; R$ 388,56 ;14,25%; 55,37 ; 333,19 ;10%; 33,32 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Middle;SALVAPÉ;02.330.106/0001-89;PRUDENTIAL;VIDA;10;01/12/2022;Comissão; R$ 145,18 ;20%; R$ 29,04 ;2,00%; R$ 0,58 ; R$ 28,46 ;14,25%; 4,05 ; 24,40 ;10%; 2,44 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Middle;SALVAPÉ;10.204.906/0002-62;PRUDENTIAL;VIDA;10;01/12/2022;Comissão; R$ 119,86 ;20%; R$ 23,97 ;2,00%; R$ 0,48 ; R$ 23,49 ;14,25%; 3,35 ; 20,14 ;10%; 2,01 
Pantera Imoveis;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Small;Pantera Imoveis;53.711.560/0001-10;PORTO;SAÚDE;1;01/01/2023;Comissão; R$ 19.038,82 ;10%; R$ 1.903,88 ;2,00%; R$ 38,08 ; R$ 1.865,80 ;14,25%; 265,88 ; 1.599,93 ;20%; 319,99 
Pantera Imoveis;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Small;Pantera Imoveis;53.711.560/0002-00;PORTO;SAÚDE;1;01/01/2023;Comissão; R$ 3.592,34 ;10%; R$ 359,23 ;2,00%; R$ 7,18 ; R$ 352,05 ;14,25%; 50,17 ; 301,88 ;20%; 60,38 
Pantera Imoveis;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Small;Pantera Imoveis;53.711.560/0003-82;PORTO;SAÚDE;1;01/01/2023;Comissão; R$ 5.167,55 ;10%; R$ 516,76 ;2,00%; R$ 10,34 ; R$ 506,42 ;14,25%; 72,16 ; 434,26 ;20%; 86,85 
Pantera Imoveis;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Small;Pantera Imoveis;23.530.888/0004-12;PORTO;SAÚDE;1;01/01/2023;Comissão; R$ 4.593,74 ;10%; R$ 459,37 ;2,00%; R$ 9,19 ; R$ 450,19 ;14,25%; 64,15 ; 386,03 ;20%; 77,21 
Pantera Imoveis;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Small;Pantera Imoveis;23.530.888/0005-01;PORTO;SAÚDE;1;01/01/2023;Comissão; R$ 3.109,26 ;10%; R$ 310,93 ;2,00%; R$ 6,22 ; R$ 304,71 ;14,25%; 43,42 ; 261,29 ;20%; 52,26 
Pantera Imoveis;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/01/2023;Small;Pantera Imoveis;47.065.911/0001-60;PORTO;SAÚDE;1;01/01/2023;Comissão; R$ 6.779,46 ;10%; R$ 677,95 ;2,00%; R$ 13,56 ; R$ 664,39 ;14,25%; 94,68 ; 569,71 ;20%; 113,94 
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;4;01/12/2022;Comissão; R$ 1.415,42 ;10%; R$ 141,54 ;2,00%; R$ 2,83 ; R$ 138,71 ;14,25%; 19,77 ; 118,94 ;10%; 11,89 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;SINALISA;61.409.355/0001-23;SULAMERICA;SAÚDE;11;01/12/2022;Comissão; R$ 1.886,40 ;5%; R$ 94,32 ;3,50%; R$ 3,30 ; R$ 91,02 ;14,25%; 12,97 ; 78,05 ;10%; 7,80 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;SINALISA;32.519.257/0001-40;SULAMERICA;SAÚDE;11;01/12/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;SINALISA;14.806.110/0001-50;SULAMERICA;SAÚDE;11;01/12/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;SINALISA;42.147.421/0001-90;SULAMERICA;SAÚDE;12;01/12/2022;Comissão; R$ 32.937,40 ;5%; R$ 1.646,87 ;3,50%; R$ 57,64 ; R$ 1.589,23 ;14,25%; 226,47 ; 1.362,76 ;10%; 136,28 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;SINALISA;42.334.013/0001-47;SULAMERICA;SAÚDE;11;01/12/2022;Comissão; R$ 4.197,20 ;5%; R$ 209,86 ;3,50%; R$ 7,35 ; R$ 202,51 ;14,25%; 28,86 ; 173,66 ;10%; 17,37 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;MON VILLE;00.327.702/0001-84;UNIMED CAMP;SAÚDE;11;01/01/2023;Comissão; R$ 18.893,80 ;5%; R$ 944,69 ;3,50%; R$ 33,06 ; R$ 911,63 ;14,25%; 129,91 ; 781,72 ;10%; 78,17 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;MON VILLE;30.546.132/0001-84;UNIMED CAMP;SAÚDE;11;01/01/2023;Comissão; R$ 38.782,00 ;5%; R$ 1.939,10 ;3,50%; R$ 67,87 ; R$ 1.871,23 ;14,25%; 266,65 ; 1.604,58 ;10%; 160,46 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;MON VILLE;14.429.436/0001-05;UNIMED CAMP;SAÚDE;11;01/01/2023;Comissão; R$ 5.966,40 ;5%; R$ 298,32 ;3,50%; R$ 10,44 ; R$ 287,88 ;14,25%; 41,02 ; 246,86 ;10%; 24,69 
Mutual;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;MUTUAL;24.285.984/0001-62;PORTO;SAÚDE;5;01/01/2023;Comissão; R$ 29.040,00 ;2%; R$ 580,80 ;3,50%; R$ 20,33 ; R$ 560,47 ;14,25%; 79,87 ; 480,60 ;10%; 48,06 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;Omnilink;03.585.974/0009-20;Odontoprev;ODONTO;10;01/01/2023;Agenciamento; R$ 119,37 ;95%; R$ 113,40 ;0,00%; R$ -   ; R$ 113,40 ;14,25%; 16,16 ; 97,24 ;10%; 9,72 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;Omnilink;03.585.974/0009-20;Odontoprev;ODONTO;10;01/01/2023;Comissão; R$ 7.140,51 ;5%; R$ 357,03 ;0,00%; R$ -   ; R$ 357,03 ;14,25%; 50,88 ; 306,15 ;10%; 30,61 
CS Global;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Corporate;CS Global;20.965.391/0001-96;METLIFE;VIDA;9;01/11/2022;Comissão; R$ 455,13 ;20%; R$ 91,03 ;2,00%; R$ 1,82 ; R$ 89,21 ;14,25%; 12,71 ; 76,49 ;10%; 7,65 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;20.250.105/0001-06;Amil;SAÚDE;2;01/12/2022;Agenciamento; R$ 21.935,62 ;50%; R$ 10.967,81 ;1,50%; R$ 164,52 ; R$ 10.803,29 ;14,25%; 1.539,47 ; 9.263,82 ;10%; 926,38 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;34.088.029/0001-99;Amil;SAÚDE;2;01/12/2022;Agenciamento; R$ 2.256,46 ;50%; R$ 1.128,23 ;1,50%; R$ 16,92 ; R$ 1.111,31 ;14,25%; 158,36 ; 952,95 ;10%; 95,29 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;31.862.653/0001-03;Amil;SAÚDE;2;01/12/2022;Agenciamento; R$ 31.573,97 ;50%; R$ 15.786,99 ;1,50%; R$ 236,80 ; R$ 15.550,18 ;14,25%; 2.215,90 ; 13.334,28 ;10%; 1.333,43 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;35.850.203/0001-51;Amil;SAÚDE;2;01/12/2022;Agenciamento; R$ 5.608,60 ;50%; R$ 2.804,30 ;1,50%; R$ 42,06 ; R$ 2.762,24 ;14,25%; 393,62 ; 2.368,62 ;10%; 236,86 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;31.739.211/0001-74;Amil;SAÚDE;2;01/12/2022;Agenciamento; R$ 83.589,09 ;50%; R$ 41.794,55 ;1,50%; R$ 626,92 ; R$ 41.167,63 ;14,25%; 5.866,39 ; 35.301,24 ;10%; 3.530,12 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;20.250.105/0001-06;Amil;SAÚDE;3;01/01/2023;Agenciamento; R$ 20.492,63 ;50%; R$ 10.246,32 ;1,50%; R$ 153,69 ; R$ 10.092,62 ;14,25%; 1.438,20 ; 8.654,42 ;10%; 865,44 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;34.088.029/0001-99;Amil;SAÚDE;3;01/01/2023;Agenciamento; R$ 2.091,22 ;50%; R$ 1.045,61 ;1,50%; R$ 15,68 ; R$ 1.029,93 ;14,25%; 146,76 ; 883,16 ;10%; 88,32 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;31.862.653/0001-03;Amil;SAÚDE;3;01/01/2023;Agenciamento; R$ 30.781,98 ;50%; R$ 15.390,99 ;1,50%; R$ 230,86 ; R$ 15.160,13 ;14,25%; 2.160,32 ; 12.999,81 ;10%; 1.299,98 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;35.850.203/0001-51;Amil;SAÚDE;3;01/01/2023;Agenciamento; R$ 5.466,62 ;50%; R$ 2.733,31 ;1,50%; R$ 41,00 ; R$ 2.692,31 ;14,25%; 383,65 ; 2.308,66 ;10%; 230,87 
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2023;Middle;Listo;31.739.211/0001-74;Amil;SAÚDE;3;01/01/2023;Agenciamento; R$ 82.871,57 ;50%; R$ 41.435,79 ;1,50%; R$ 621,54 ; R$ 40.814,25 ;14,25%; 5.816,03 ; 34.998,22 ;10%; 3.499,82 
